Execution time summary:
 mean (ms)   median (ms)    max (ms)     min (ms)     std (ms)  
   0.8311       0.8311       0.8312       0.8311       0.0000   
               
Node Name                                                                                                                                                           Ops                                                                                                                                                                 Time(us)  Time(%)  Shape           Inputs  Outputs  Measurements(us)  
tvmgen_welder_reshape_transpose_reshape_181_nn_batch_matmul_185_reshape_reshape_add_cast_maximum_reshape_186_max_187_subtract_exp_188_sum_189_divide_cast_cast_190  tvmgen_welder_reshape_transpose_reshape_181_nn_batch_matmul_185_reshape_reshape_add_cast_maximum_reshape_186_max_187_subtract_exp_188_sum_189_divide_cast_cast_190  8.631     0.451    (12, 1, 1)      3       1        [8.631]           
tvmgen_welder_reshape_transpose_reshape_210_nn_batch_matmul_214_reshape_reshape_add_cast_maximum_reshape_215_max_216_subtract_exp_217_sum_218_divide_cast_cast_219  tvmgen_welder_reshape_transpose_reshape_210_nn_batch_matmul_214_reshape_reshape_add_cast_maximum_reshape_215_max_216_subtract_exp_217_sum_218_divide_cast_cast_219  8.631     0.451    (12, 1, 1)      3       1        [8.631]           
tvmgen_welder_reshape_transpose_reshape_297_nn_batch_matmul_301_reshape_reshape_add_cast_maximum_reshape_302_max_303_subtract_exp_304_sum_305_divide_cast_cast_306  tvmgen_welder_reshape_transpose_reshape_297_nn_batch_matmul_301_reshape_reshape_add_cast_maximum_reshape_302_max_303_subtract_exp_304_sum_305_divide_cast_cast_306  8.625     0.451    (12, 1, 1)      3       1        [8.625]           
tvmgen_welder_reshape_transpose_reshape_326_nn_batch_matmul_330_reshape_reshape_add_cast_maximum_reshape_331_max_332_subtract_exp_333_sum_334_divide_cast_cast_335  tvmgen_welder_reshape_transpose_reshape_326_nn_batch_matmul_330_reshape_reshape_add_cast_maximum_reshape_331_max_332_subtract_exp_333_sum_334_divide_cast_cast_335  8.62      0.451    (12, 1, 1)      3       1        [8.62]            
tvmgen_welder_reshape_transpose_reshape_7_nn_batch_matmul_11_reshape_reshape_add_cast_maximum_reshape_12_max_13_subtract_exp_14_sum_15_divide_cast_cast_16          tvmgen_welder_reshape_transpose_reshape_7_nn_batch_matmul_11_reshape_reshape_add_cast_maximum_reshape_12_max_13_subtract_exp_14_sum_15_divide_cast_cast_16          8.614     0.45     (12, 1, 1)      3       1        [8.614]           
tvmgen_welder_divide_cast_multiply_add_346                                                                                                                          tvmgen_welder_divide_cast_multiply_add_346                                                                                                                          7.88      0.412    (1, 768)        4       1        [7.88]            
tvmgen_welder_divide_cast_multiply_add_114                                                                                                                          tvmgen_welder_divide_cast_multiply_add_114                                                                                                                          7.859     0.411    (1, 768)        4       1        [7.859]           
tvmgen_welder_divide_cast_multiply_add_143                                                                                                                          tvmgen_welder_divide_cast_multiply_add_143                                                                                                                          7.859     0.411    (1, 768)        4       1        [7.859]           
tvmgen_welder_divide_cast_multiply_add_201                                                                                                                          tvmgen_welder_divide_cast_multiply_add_201                                                                                                                          7.859     0.411    (1, 768)        4       1        [7.859]           
tvmgen_welder_divide_cast_multiply_add_317                                                                                                                          tvmgen_welder_divide_cast_multiply_add_317                                                                                                                          7.859     0.411    (1, 768)        4       1        [7.859]           
tvmgen_welder_divide_cast_multiply_add_288                                                                                                                          tvmgen_welder_divide_cast_multiply_add_288                                                                                                                          7.858     0.411    (1, 768)        4       1        [7.858]           
tvmgen_welder_reshape_transpose_48_nn_batch_matmul_49_reshape_reshape_transpose_reshape_50                                                                          tvmgen_welder_reshape_transpose_48_nn_batch_matmul_49_reshape_reshape_transpose_reshape_50                                                                          7.854     0.411    (1, 1, 768)     2       1        [7.854]           
tvmgen_welder_subtract_cast_multiply_90_mean_add_sqrt_91                                                                                                            tvmgen_welder_subtract_cast_multiply_90_mean_add_sqrt_91                                                                                                            7.854     0.411    (1, 1, 768)     2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_90_mean_add_sqrt_91                                                                                                            tvmgen_welder_subtract_cast_multiply_90_mean_add_sqrt_91                                                                                                            7.854     0.411    (1, 1, 1)       2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_148_mean_add_sqrt_149                                                                                                          tvmgen_welder_subtract_cast_multiply_148_mean_add_sqrt_149                                                                                                          7.854     0.411    (1, 1, 768)     2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_148_mean_add_sqrt_149                                                                                                          tvmgen_welder_subtract_cast_multiply_148_mean_add_sqrt_149                                                                                                          7.854     0.411    (1, 1, 1)       2       2        [7.854]           
tvmgen_welder_divide_cast_multiply_add_230                                                                                                                          tvmgen_welder_divide_cast_multiply_add_230                                                                                                                          7.854     0.411    (1, 768)        4       1        [7.854]           
tvmgen_welder_subtract_cast_multiply_264_mean_add_sqrt_265                                                                                                          tvmgen_welder_subtract_cast_multiply_264_mean_add_sqrt_265                                                                                                          7.854     0.411    (1, 1, 768)     2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_264_mean_add_sqrt_265                                                                                                          tvmgen_welder_subtract_cast_multiply_264_mean_add_sqrt_265                                                                                                          7.854     0.411    (1, 1, 1)       2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_286_mean_add_sqrt_287                                                                                                          tvmgen_welder_subtract_cast_multiply_286_mean_add_sqrt_287                                                                                                          7.854     0.411    (1, 768)        2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_286_mean_add_sqrt_287                                                                                                          tvmgen_welder_subtract_cast_multiply_286_mean_add_sqrt_287                                                                                                          7.854     0.411    (1, 1)          2       2        [7.854]           
tvmgen_welder_subtract_cast_multiply_206_mean_add_sqrt_207                                                                                                          tvmgen_welder_subtract_cast_multiply_206_mean_add_sqrt_207                                                                                                          7.852     0.411    (1, 1, 768)     2       2        [7.852]           
tvmgen_welder_subtract_cast_multiply_206_mean_add_sqrt_207                                                                                                          tvmgen_welder_subtract_cast_multiply_206_mean_add_sqrt_207                                                                                                          7.852     0.411    (1, 1, 1)       2       2        [7.852]           
tvmgen_welder_divide_cast_multiply_add_63                                                                                                                           tvmgen_welder_divide_cast_multiply_add_63                                                                                                                           7.849     0.41     (1, 1, 768)     4       1        [7.849]           
tvmgen_welder_subtract_cast_multiply_141_mean_add_sqrt_142                                                                                                          tvmgen_welder_subtract_cast_multiply_141_mean_add_sqrt_142                                                                                                          7.849     0.41     (1, 768)        2       2        [7.849]           
tvmgen_welder_subtract_cast_multiply_141_mean_add_sqrt_142                                                                                                          tvmgen_welder_subtract_cast_multiply_141_mean_add_sqrt_142                                                                                                          7.849     0.41     (1, 1)          2       2        [7.849]           
tvmgen_welder_divide_cast_multiply_add_172                                                                                                                          tvmgen_welder_divide_cast_multiply_add_172                                                                                                                          7.849     0.41     (1, 768)        4       1        [7.849]           
tvmgen_welder_subtract_cast_multiply_235_mean_add_sqrt_236                                                                                                          tvmgen_welder_subtract_cast_multiply_235_mean_add_sqrt_236                                                                                                          7.849     0.41     (1, 1, 768)     2       2        [7.849]           
tvmgen_welder_subtract_cast_multiply_235_mean_add_sqrt_236                                                                                                          tvmgen_welder_subtract_cast_multiply_235_mean_add_sqrt_236                                                                                                          7.849     0.41     (1, 1, 1)       2       2        [7.849]           
tvmgen_welder_subtract_cast_multiply_257_mean_add_sqrt_258                                                                                                          tvmgen_welder_subtract_cast_multiply_257_mean_add_sqrt_258                                                                                                          7.849     0.41     (1, 768)        2       2        [7.849]           
tvmgen_welder_subtract_cast_multiply_257_mean_add_sqrt_258                                                                                                          tvmgen_welder_subtract_cast_multiply_257_mean_add_sqrt_258                                                                                                          7.849     0.41     (1, 1)          2       2        [7.849]           
tvmgen_welder_subtract_cast_multiply_322_mean_add_sqrt_323                                                                                                          tvmgen_welder_subtract_cast_multiply_322_mean_add_sqrt_323                                                                                                          7.849     0.41     (1, 1, 768)     2       2        [7.849]           
