Execution time summary:
 mean (ms)   median (ms)    max (ms)     min (ms)     std (ms)  
   0.8311       0.8311       0.8312       0.8311       0.0000   
               
Node Name                                                                                                                                                           Ops                                                                                                                                                                 Time(us)  Time(%)  Shape           Inputs  Outputs  Measurements(us)  
---------                                                                                                                                                           ---                                                                                                                                                                 --------  -------  -----           ------  -------  ----------------  
tvmgen_welder_ladder_quant_linear_add_261                                                                                                                           tvmgen_welder_ladder_quant_linear_add_261                                                                                                                           9.763     0.51     (1, 768)        5       1        [9.763]           
tvmgen_welder_ladder_quant_linear_add_290                                                                                                                           tvmgen_welder_ladder_quant_linear_add_290                                                                                                                           9.757     0.51     (1, 768)        5       1        [9.757]           
tvmgen_welder_ladder_quant_linear_add_319                                                                                                                           tvmgen_welder_ladder_quant_linear_add_319                                                                                                                           9.75      0.51     (1, 768)        5       1        [9.75]            
tvmgen_welder_ladder_quant_linear_add_116                                                                                                                           tvmgen_welder_ladder_quant_linear_add_116                                                                                                                           9.744     0.509    (1, 768)        5       1        [9.744]           
tvmgen_welder_ladder_quant_linear_add_203                                                                                                                           tvmgen_welder_ladder_quant_linear_add_203                                                                                                                           9.744     0.509    (1, 768)        5       1        [9.744]           
tvmgen_welder_ladder_quant_linear_add_174                                                                                                                           tvmgen_welder_ladder_quant_linear_add_174                                                                                                                           9.731     0.509    (1, 768)        5       1        [9.731]           
tvmgen_welder_ladder_quant_linear_add_232                                                                                                                           tvmgen_welder_ladder_quant_linear_add_232                                                                                                                           9.731     0.509    (1, 768)        5       1        [9.731]           
tvmgen_welder_ladder_quant_linear_add_348                                                                                                                           tvmgen_welder_ladder_quant_linear_add_348                                                                                                                           9.731     0.509    (1, 768)        5       1        [9.731]           
tvmgen_welder_ladder_quant_linear_add_29                                                                                                                            tvmgen_welder_ladder_quant_linear_add_29                                                                                                                            9.712     0.508    (1, 768)        5       1        [9.712]           
tvmgen_welder_ladder_quant_linear_add_87                                                                                                                            tvmgen_welder_ladder_quant_linear_add_87                                                                                                                            9.687     0.506    (1, 768)        5       1        [9.687]           
tvmgen_welder_ladder_quant_linear_add_58                                                                                                                            tvmgen_welder_ladder_quant_linear_add_58                                                                                                                            9.675     0.506    (1, 768)        5       1        [9.675]           
tvmgen_welder_ladder_quant_linear_add_145                                                                                                                           tvmgen_welder_ladder_quant_linear_add_145                                                                                                                           9.65      0.505    (1, 768)        5       1        [9.65]            
tvmgen_welder_ladder_quant_linear_add_nn_relu_318                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_318                                                                                                                   9.469     0.495    (1, 3072)       5       1        [9.469]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_260                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_260                                                                                                                   9.463     0.495    (1, 3072)       5       1        [9.463]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_144                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_144                                                                                                                   9.438     0.493    (1, 3072)       5       1        [9.438]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_231                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_231                                                                                                                   9.438     0.493    (1, 3072)       5       1        [9.438]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_289                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_289                                                                                                                   9.435     0.493    (1, 3072)       5       1        [9.435]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_57                                                                                                                    tvmgen_welder_ladder_quant_linear_add_nn_relu_57                                                                                                                    9.432     0.493    (1, 3072)       5       1        [9.432]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_28                                                                                                                    tvmgen_welder_ladder_quant_linear_add_nn_relu_28                                                                                                                    9.429     0.493    (1, 3072)       5       1        [9.429]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_347                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_347                                                                                                                   9.429     0.493    (1, 3072)       5       1        [9.429]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_202                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_202                                                                                                                   9.426     0.493    (1, 3072)       5       1        [9.426]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_86                                                                                                                    tvmgen_welder_ladder_quant_linear_add_nn_relu_86                                                                                                                    9.423     0.493    (1, 3072)       5       1        [9.423]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_115                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_115                                                                                                                   9.423     0.493    (1, 3072)       5       1        [9.423]           
tvmgen_welder_ladder_quant_linear_add_nn_relu_173                                                                                                                   tvmgen_welder_ladder_quant_linear_add_nn_relu_173                                                                                                                   9.42      0.492    (1, 3072)       5       1        [9.42]            
tvmgen_welder_ladder_quant_linear_add_307                                                                                                                           tvmgen_welder_ladder_quant_linear_add_307                                                                                                                           9.175     0.48     (1, 1, 768)     5       1        [9.175]           
tvmgen_welder_ladder_quant_linear_add_multiply_238                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_238                                                                                                                  9.169     0.479    (1, 1, 768)     5       1        [9.169]           
tvmgen_welder_ladder_quant_linear_add_283                                                                                                                           tvmgen_welder_ladder_quant_linear_add_283                                                                                                                           9.169     0.479    (1, 1, 768)     5       1        [9.169]           
tvmgen_welder_ladder_quant_linear_add_51                                                                                                                            tvmgen_welder_ladder_quant_linear_add_51                                                                                                                            9.163     0.479    (1, 1, 768)     5       1        [9.163]           
tvmgen_welder_ladder_quant_linear_add_240                                                                                                                           tvmgen_welder_ladder_quant_linear_add_240                                                                                                                           9.157     0.479    (1, 1, 768)     5       1        [9.157]           
tvmgen_welder_ladder_quant_linear_add_298                                                                                                                           tvmgen_welder_ladder_quant_linear_add_298                                                                                                                           9.157     0.479    (1, 1, 768)     5       1        [9.157]           
tvmgen_welder_ladder_quant_linear_add_46                                                                                                                            tvmgen_welder_ladder_quant_linear_add_46                                                                                                                            9.151     0.478    (1, 1, 768)     5       1        [9.151]           
tvmgen_welder_ladder_quant_linear_add_17                                                                                                                            tvmgen_welder_ladder_quant_linear_add_17                                                                                                                            9.145     0.478    (1, 1, 768)     5       1        [9.145]           
tvmgen_welder_ladder_quant_linear_add_multiply_325                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_325                                                                                                                  9.145     0.478    (1, 1, 768)     5       1        [9.145]           
tvmgen_welder_ladder_quant_linear_add_191                                                                                                                           tvmgen_welder_ladder_quant_linear_add_191                                                                                                                           9.144     0.478    (1, 1, 768)     5       1        [9.144]           
tvmgen_welder_ladder_quant_linear_add_109                                                                                                                           tvmgen_welder_ladder_quant_linear_add_109                                                                                                                           9.139     0.478    (1, 1, 768)     5       1        [9.139]           
tvmgen_welder_ladder_quant_linear_add_153                                                                                                                           tvmgen_welder_ladder_quant_linear_add_153                                                                                                                           9.139     0.478    (1, 1, 768)     5       1        [9.139]           
tvmgen_welder_ladder_quant_linear_add_249                                                                                                                           tvmgen_welder_ladder_quant_linear_add_249                                                                                                                           9.139     0.478    (1, 1, 768)     5       1        [9.139]           
tvmgen_welder_ladder_quant_linear_add_254                                                                                                                           tvmgen_welder_ladder_quant_linear_add_254                                                                                                                           9.139     0.478    (1, 1, 768)     5       1        [9.139]           
tvmgen_welder_ladder_quant_linear_add_multiply_296                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_296                                                                                                                  9.139     0.478    (1, 1, 768)     5       1        [9.139]           
tvmgen_welder_ladder_quant_linear_add_167                                                                                                                           tvmgen_welder_ladder_quant_linear_add_167                                                                                                                           9.135     0.478    (1, 1, 768)     5       1        [9.135]           
tvmgen_welder_ladder_quant_linear_add_multiply_35                                                                                                                   tvmgen_welder_ladder_quant_linear_add_multiply_35                                                                                                                   9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_75                                                                                                                            tvmgen_welder_ladder_quant_linear_add_75                                                                                                                            9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_104                                                                                                                           tvmgen_welder_ladder_quant_linear_add_104                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_182                                                                                                                           tvmgen_welder_ladder_quant_linear_add_182                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_211                                                                                                                           tvmgen_welder_ladder_quant_linear_add_211                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_225                                                                                                                           tvmgen_welder_ladder_quant_linear_add_225                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_336                                                                                                                           tvmgen_welder_ladder_quant_linear_add_336                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_341                                                                                                                           tvmgen_welder_ladder_quant_linear_add_341                                                                                                                           9.134     0.477    (1, 1, 768)     5       1        [9.134]           
tvmgen_welder_ladder_quant_linear_add_66                                                                                                                            tvmgen_welder_ladder_quant_linear_add_66                                                                                                                            9.133     0.477    (1, 1, 768)     5       1        [9.133]           
tvmgen_welder_ladder_quant_linear_add_138                                                                                                                           tvmgen_welder_ladder_quant_linear_add_138                                                                                                                           9.133     0.477    (1, 1, 768)     5       1        [9.133]           
tvmgen_welder_ladder_quant_linear_add_196                                                                                                                           tvmgen_welder_ladder_quant_linear_add_196                                                                                                                           9.133     0.477    (1, 1, 768)     5       1        [9.133]           
tvmgen_welder_ladder_quant_linear_add_22                                                                                                                            tvmgen_welder_ladder_quant_linear_add_22                                                                                                                            9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_37                                                                                                                            tvmgen_welder_ladder_quant_linear_add_37                                                                                                                            9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_80                                                                                                                            tvmgen_welder_ladder_quant_linear_add_80                                                                                                                            9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_95                                                                                                                            tvmgen_welder_ladder_quant_linear_add_95                                                                                                                            9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_133                                                                                                                           tvmgen_welder_ladder_quant_linear_add_133                                                                                                                           9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_multiply_151                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_151                                                                                                                  9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_162                                                                                                                           tvmgen_welder_ladder_quant_linear_add_162                                                                                                                           9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_312                                                                                                                           tvmgen_welder_ladder_quant_linear_add_312                                                                                                                           9.128     0.477    (1, 1, 768)     5       1        [9.128]           
tvmgen_welder_ladder_quant_linear_add_multiply_64                                                                                                                   tvmgen_welder_ladder_quant_linear_add_multiply_64                                                                                                                   9.127     0.477    (1, 1, 768)     5       1        [9.127]           
tvmgen_welder_ladder_quant_linear_add_327                                                                                                                           tvmgen_welder_ladder_quant_linear_add_327                                                                                                                           9.127     0.477    (1, 1, 768)     5       1        [9.127]           
tvmgen_welder_ladder_quant_linear_add_278                                                                                                                           tvmgen_welder_ladder_quant_linear_add_278                                                                                                                           9.122     0.477    (1, 1, 768)     5       1        [9.122]           
tvmgen_welder_ladder_quant_linear_add_220                                                                                                                           tvmgen_welder_ladder_quant_linear_add_220                                                                                                                           9.121     0.477    (1, 1, 768)     5       1        [9.121]           
tvmgen_welder_ladder_quant_linear_add_124                                                                                                                           tvmgen_welder_ladder_quant_linear_add_124                                                                                                                           9.117     0.477    (1, 1, 768)     5       1        [9.117]           
tvmgen_welder_ladder_quant_linear_add_multiply_209                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_209                                                                                                                  9.117     0.477    (1, 1, 768)     5       1        [9.117]           
tvmgen_welder_ladder_quant_linear_add_269                                                                                                                           tvmgen_welder_ladder_quant_linear_add_269                                                                                                                           9.116     0.477    (1, 1, 768)     5       1        [9.116]           
tvmgen_welder_ladder_quant_linear_add_8                                                                                                                             tvmgen_welder_ladder_quant_linear_add_8                                                                                                                             9.11      0.476    (1, 1, 768)     5       1        [9.11]            
tvmgen_welder_ladder_quant_linear_add_multiply_180                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_180                                                                                                                  9.109     0.476    (1, 1, 768)     5       1        [9.109]           
tvmgen_welder_ladder_quant_linear_add_multiply_267                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_267                                                                                                                  9.104     0.476    (1, 1, 768)     5       1        [9.104]           
tvmgen_welder_ladder_quant_linear_add_multiply_6                                                                                                                    tvmgen_welder_ladder_quant_linear_add_multiply_6                                                                                                                    9.088     0.475    (1, 1, 768)     5       1        [9.088]           
tvmgen_welder_ladder_quant_linear_add_multiply_93                                                                                                                   tvmgen_welder_ladder_quant_linear_add_multiply_93                                                                                                                   9.075     0.474    (1, 1, 768)     5       1        [9.075]           
tvmgen_welder_ladder_quant_linear_add_multiply_122                                                                                                                  tvmgen_welder_ladder_quant_linear_add_multiply_122                                                                                                                  9.051     0.473    (1, 1, 768)     5       1        [9.051]           
tvmgen_welder_reshape_transpose_reshape_152_nn_batch_matmul_156_reshape_reshape_add_cast_maximum_reshape_157_max_158_subtract_exp_159_sum_160_divide_cast_cast_161  tvmgen_welder_reshape_transpose_reshape_152_nn_batch_matmul_156_reshape_reshape_add_cast_maximum_reshape_157_max_158_subtract_exp_159_sum_160_divide_cast_cast_161  8.676     0.454    (12, 1, 1)      3       1        [8.676]           
tvmgen_welder_reshape_transpose_reshape_94_nn_batch_matmul_98_reshape_reshape_add_cast_maximum_reshape_99_max_100_subtract_exp_101_sum_102_divide_cast_cast_103     tvmgen_welder_reshape_transpose_reshape_94_nn_batch_matmul_98_reshape_reshape_add_cast_maximum_reshape_99_max_100_subtract_exp_101_sum_102_divide_cast_cast_103     8.661     0.453    (12, 1, 1)      3       1        [8.661]           
tvmgen_welder_reshape_transpose_reshape_123_nn_batch_matmul_127_reshape_reshape_add_cast_maximum_reshape_128_max_129_subtract_exp_130_sum_131_divide_cast_cast_132  tvmgen_welder_reshape_transpose_reshape_123_nn_batch_matmul_127_reshape_reshape_add_cast_maximum_reshape_128_max_129_subtract_exp_130_sum_131_divide_cast_cast_132  8.661     0.453    (12, 1, 1)      3       1        [8.661]           
tvmgen_welder_reshape_transpose_reshape_239_nn_batch_matmul_243_reshape_reshape_add_cast_maximum_reshape_244_max_245_subtract_exp_246_sum_247_divide_cast_cast_248  tvmgen_welder_reshape_transpose_reshape_239_nn_batch_matmul_243_reshape_reshape_add_cast_maximum_reshape_244_max_245_subtract_exp_246_sum_247_divide_cast_cast_248  8.65      0.452    (12, 1, 1)      3       1        [8.65]            
tvmgen_welder_reshape_transpose_reshape_268_nn_batch_matmul_272_reshape_reshape_add_cast_maximum_reshape_273_max_274_subtract_exp_275_sum_276_divide_cast_cast_277  tvmgen_welder_reshape_transpose_reshape_268_nn_batch_matmul_272_reshape_reshape_add_cast_maximum_reshape_273_max_274_subtract_exp_275_sum_276_divide_cast_cast_277  8.642     0.452    (12, 1, 1)      3       1        [8.642]           
tvmgen_welder_reshape_transpose_reshape_65_nn_batch_matmul_69_reshape_reshape_add_cast_maximum_reshape_70_max_71_subtract_exp_72_sum_73_divide_cast_cast_74         tvmgen_welder_reshape_transpose_reshape_65_nn_batch_matmul_69_reshape_reshape_add_cast_maximum_reshape_70_max_71_subtract_exp_72_sum_73_divide_cast_cast_74         8.638     0.452    (12, 1, 1)      3       1        [8.638]           
tvmgen_welder_reshape_transpose_reshape_36_nn_batch_matmul_40_reshape_reshape_add_cast_maximum_reshape_41_max_42_subtract_exp_43_sum_44_divide_cast_cast_45         tvmgen_welder_reshape_transpose_reshape_36_nn_batch_matmul_40_reshape_reshape_add_cast_maximum_reshape_41_max_42_subtract_exp_43_sum_44_divide_cast_cast_45         8.631     0.451    (12, 1, 1)      3       1        [8.631]           
